iter	Passed	Remaining
407	5455	7915
408	5468	7901
409	5481	7887
410	5495	7874
411	5508	7862
412	5522	7849
413	5536	7836
414	5549	7823
415	5562	7808
416	5575	7794
417	5588	7780
418	5602	7768
419	5616	7755
420	5629	7741
421	5642	7728
422	5655	7714
423	5668	7700
424	5681	7686
425	5694	7672
426	5707	7659
427	5721	7646
428	5735	7633
429	5748	7620
430	5762	7607
431	5774	7592
432	5788	7579
433	5801	7565
434	5814	7552
435	5828	7539
436	5841	7525
437	5855	7512
438	5868	7499
439	5881	7486
440	5895	7472
441	5908	7459
442	5922	7446
443	5935	7433
444	5949	7419
445	5963	7407
446	5976	7393
447	5989	7379
448	6003	7366
449	6016	7353
450	6029	7339
451	6043	7326
452	6056	7313
453	6069	7299
454	6082	7286
455	6096	7272
456	6109	7259
457	6122	7245
458	6136	7232
459	6149	7219
460	6162	7205
461	6175	7190
462	6188	7177
463	6201	7163
464	6214	7150
465	6228	7137
466	6242	7124
467	6254	7109
468	6267	7096
469	6281	7083
470	6294	7069
471	6308	7057
472	6321	7043
473	6335	7030
474	6348	7017
475	6362	7004
476	6375	6990
477	6388	6976
478	6401	6962
479	6415	6949
480	6428	6935
481	6440	6921
482	6454	6908
483	6467	6895
484	6480	6881
485	6494	6868
486	6507	6855
487	6522	6842
488	6536	6830
489	6549	6816
490	6563	6803
491	6576	6790
492	6590	6777
493	6604	6764
494	6617	6751
495	6631	6738
496	6644	6724
497	6658	6711
498	6670	6697
499	6684	6684
500	6697	6670
501	6711	6657
502	6724	6644
503	6737	6631
504	6750	6617
505	6764	6603
506	6777	6590
507	6790	6577
508	6804	6563
509	6817	6550
510	6831	6536
511	6844	6523
512	6857	6509
513	6870	6496
514	6884	6483
515	6897	6469
516	6910	6455
517	6924	6443
518	6937	6429
519	6950	6416
520	6963	6402
521	6977	6389
522	6990	6375
523	7004	6362
524	7017	6349
525	7030	6335
526	7043	6321
527	7056	6308
528	7069	6294
529	7084	6282
530	7097	6268
531	7110	6255
532	7123	6241
533	7135	6226
534	7148	6213
535	7161	6199
536	7175	6186
537	7188	6173
538	7202	6160
539	7215	6146
540	7229	6133
541	7242	6120
542	7256	6107
543	7269	6093
544	7282	6080
545	7296	6066
546	7309	6053
547	7323	6040
548	7336	6026
549	7349	6013
550	7363	6000
551	7376	5986
552	7389	5973
553	7402	5959
554	7416	5946
555	7429	5932
556	7442	5919
557	7456	5906
558	7469	5892
559	7483	5879
560	7496	5866
561	7511	5853
562	7525	5841
563	7539	5828
564	7554	5816
565	7568	5803
566	7583	5791
567	7598	5779
568	7614	5767
569	7629	5755
570	7643	5742
571	7658	5730
572	7671	5717
573	7685	5703
574	7699	5690
575	7713	5678
576	7727	5665
577	7741	5651
578	7754	5638
579	7768	5625
580	7783	5613
581	7798	5600
582	7813	5588
583	7828	5576
584	7842	5563
585	7857	5551
586	7871	5538
587	7886	5525
588	7900	5513
589	7915	5500
590	7929	5487
591	7944	5475
592	7960	5463
593	7976	5452
594	7992	5440
595	8007	5428
596	8024	5416
597	8039	5404
598	8055	5392
599	8072	5381
600	8087	5369
601	8102	5356
602	8117	5344
603	8132	5331
604	8146	5318
605	8161	5306
606	8175	5293
607	8188	5279
608	8202	5266
609	8216	5253
610	8230	5240
611	8244	5227
612	8259	5214
613	8273	5201
614	8287	5188
615	8302	5175
616	8316	5162
617	8331	5150
618	8346	5137
619	8359	5123
620	8374	5111
621	8388	5097
622	8403	5085
623	8418	5072
624	8434	5060
625	8447	5047
626	8461	5033
627	8476	5020
628	8490	5007
629	8504	4994
630	8519	4981
631	8533	4969
632	8549	4956
633	8565	4944
634	8580	4932
635	8597	4920
636	8614	4908
637	8630	4897
638	8646	4884
639	8663	4873
640	8681	4862
641	8698	4850
642	8716	4839
643	8735	4828
644	8752	4817
645	8772	4807
646	8791	4796
647	8813	4787
648	8829	4775
649	8850	4765
650	8868	4754
651	8883	4741
652	8899	4729
653	8916	4717
654	8933	4705
655	8949	4692
656	8965	4680
657	8980	4667
658	8994	4654
659	9007	4640
660	9021	4626
661	9035	4613
662	9049	4599
663	9064	4586
664	9079	4573
665	9094	4561
666	9109	4547
667	9125	4535
668	9140	4522
669	9155	4509
670	9170	4496
671	9186	4483
672	9201	4470
673	9215	4457
674	9230	4444
675	9246	4431
676	9260	4418
677	9274	4404
678	9288	4391
679	9302	4377
680	9316	4363
681	9329	4350
682	9343	4336
683	9357	4322
684	9371	4309
685	9384	4295
686	9398	4282
687	9411	4268
688	9425	4254
689	9439	4240
690	9453	4227
691	9467	4213
692	9481	4200
693	9495	4186
694	9510	4173
695	9525	4160
696	9540	4147
697	9555	4134
698	9570	4121
699	9585	4108
700	9602	4095
701	9618	4082
702	9634	4070
703	9649	4057
704	9665	4044
705	9681	4031
706	9696	4018
707	9712	4005
708	9728	3992
709	9744	3980
710	9760	3967
711	9777	3954
712	9792	3941
713	9808	3928
714	9821	3915
715	9836	3901
716	9852	3888
717	9866	3875
718	9882	3862
719	9897	3849
720	9913	3836
721	9929	3823
722	9945	3810
723	9960	3796
724	9975	3783
725	9990	3770
726	10006	3757
727	10021	3744
728	10036	3731
729	10051	3717
730	10065	3704
731	10081	3691
732	10096	3677
733	10111	3664
734	10126	3651
735	10141	3637
736	10156	3624
737	10171	3610
738	10184	3596
739	10198	3583
740	10213	3569
741	10227	3556
742	10242	3542
743	10256	3529
744	10270	3515
745	10285	3501
746	10298	3488
747	10313	3474
748	10326	3460
749	10340	3446
750	10353	3432
751	10367	3419
752	10381	3405
753	10395	3391
754	10408	3377
755	10422	3363
756	10435	3349
757	10448	3335
758	10461	3321
759	10474	3307
760	10487	3293
761	10501	3280
762	10515	3266
763	10528	3252
764	10542	3238
765	10555	3224
766	10570	3210
767	10583	3197
768	10596	3183
769	10609	3169
770	10623	3155
771	10636	3141
772	10650	3127
773	10666	3114
774	10681	3101
775	10696	3087
776	10709	3073
777	10722	3059
778	10735	3045
779	10749	3031
780	10763	3018
781	10777	3004
782	10790	2990
783	10804	2976
784	10818	2963
785	10832	2949
786	10845	2935
787	10858	2921
788	10872	2907
789	10885	2893
790	10899	2879
791	10912	2865
792	10926	2852
793	10939	2838
794	10952	2824
795	10965	2810
796	10978	2796
797	10991	2782
798	11004	2768
799	11018	2754
800	11032	2740
801	11046	2727
802	11060	2713
803	11073	2699
804	11087	2685
805	11100	2671
806	11113	2657
807	11127	2644
808	11140	2630
809	11153	2616
810	11167	2602
811	11179	2588
812	11193	2574
813	11207	2561
814	11221	2547
815	11235	2533
816	11250	2519
817	11266	2506
818	11282	2493
819	11298	2480
820	11314	2466
821	11329	2453
822	11345	2440
823	11361	2426
824	11376	2413
825	11392	2399
826	11407	2386
827	11422	2372
828	11437	2359
829	11452	2345
830	11466	2331
831	11479	2317
832	11492	2304
833	11506	2290
834	11519	2276
835	11532	2262
836	11546	2248
837	11560	2234
838	11574	2221
839	11588	2207
840	11602	2193
841	11617	2179
842	11631	2166
843	11645	2152
844	11659	2138
845	11674	2125
846	11689	2111
847	11703	2097
848	11717	2083
849	11730	2070
850	11743	2056
851	11757	2042
852	11770	2028
853	11783	2014
854	11797	2000
855	11810	1986
856	11823	1972
857	11836	1958
858	11848	1944
859	11862	1931
860	11876	1917
861	11889	1903
862	11902	1889
863	11915	1875
864	11929	1861
865	11942	1847
866	11955	1834
867	11969	1820
868	11983	1806
869	11997	1792
870	12012	1779
871	12028	1765
872	12043	1752
873	12058	1738
874	12073	1724
875	12089	1711
876	12104	1697
877	12120	1684
878	12135	1670
879	12151	1656
880	12166	1643
881	12181	1629
882	12196	1616
883	12211	1602
884	12226	1588
885	12242	1575
886	12257	1561
887	12272	1547
888	12287	1534
889	12303	1520
890	12319	1507
891	12333	1493
892	12348	1479
893	12362	1465
894	12377	1452
895	12391	1438
896	12406	1424
897	12420	1410
898	12434	1397
899	12449	1383
900	12463	1369
901	12477	1355
902	12492	1341
903	12505	1328
904	12520	1314
905	12534	1300
906	12550	1286
907	12564	1273
908	12579	1259
909	12594	1245
910	12608	1231
911	12623	1218
912	12638	1204
913	12653	1190
914	12669	1176
915	12684	1163
916	12699	1149
917	12715	1135
918	12730	1122
919	12744	1108
920	12759	1094
921	12773	1080
922	12787	1066
923	12801	1052
924	12817	1039
925	12830	1025
926	12843	1011
927	12855	997
928	12869	983
929	12883	969
930	12897	955
931	12910	941
932	12923	928
933	12937	914
934	12951	900
935	12964	886
936	12978	872
937	12991	858
938	13005	844
939	13018	830
940	13032	817
941	13045	803
942	13059	789
943	13072	775
944	13086	761
945	13099	747
946	13113	733
947	13126	720
948	13140	706
949	13154	692
950	13168	678
951	13181	664
952	13195	650
953	13208	636
954	13222	623
955	13236	609
956	13250	595
957	13265	581
958	13280	567
959	13297	554
960	13313	540
961	13329	526
962	13344	512
963	13360	498
964	13375	485
965	13390	471
966	13405	457
967	13419	443
968	13434	429
969	13449	415
970	13465	402
971	13480	388
972	13496	374
973	13512	360
974	13528	346
975	13544	333
976	13559	319
977	13575	305
978	13591	291
979	13607	277
980	13622	263
981	13638	249
982	13653	236
983	13667	222
984	13683	208
985	13699	194
986	13713	180
987	13728	166
988	13744	152
989	13759	138
990	13774	125
991	13789	111
992	13805	97
993	13821	83
994	13835	69
995	13850	55
996	13865	41
997	13880	27
998	13895	13
999	13910	0
