iter	Logloss
231	0.2921633835
232	0.2921024338
233	0.292027475
234	0.2919567444
235	0.2919187912
236	0.2918792465
237	0.2918208969
238	0.2917698029
239	0.2917244919
240	0.2916790741
241	0.2916331268
242	0.2915760437
243	0.2915361008
244	0.291502562
245	0.2914251572
246	0.2913445526
247	0.2912929138
248	0.2912494308
249	0.2911975464
250	0.2911251801
251	0.2910660034
252	0.2910395401
253	0.290992804
254	0.290952803
255	0.2909331421
256	0.2908688171
257	0.2907878311
258	0.2907280838
259	0.2906484985
260	0.2906183044
261	0.2905685303
262	0.2905044403
263	0.2904680725
264	0.2904406906
265	0.2903959641
266	0.2903665543
267	0.2903009766
268	0.2902678375
269	0.2902103989
270	0.2901725113
271	0.2901184097
272	0.2900743332
273	0.2900233414
274	0.2899735336
275	0.2899188019
276	0.2898683365
277	0.289834642
278	0.2898120804
279	0.2897436798
280	0.2897062119
281	0.2896698532
282	0.2896333298
283	0.2895963547
284	0.2895703781
285	0.2895333023
286	0.2894829193
287	0.2894431747
288	0.2894164413
289	0.2893858948
290	0.2893506256
291	0.2893154572
292	0.2892712708
293	0.2891952576
294	0.2891713989
295	0.2891359787
296	0.2890969116
297	0.2890592712
298	0.2890242325
299	0.2889952179
300	0.2889620911
301	0.28892966
302	0.2889007965
303	0.2888681656
304	0.288843013
305	0.2887983658
306	0.2887658707
307	0.2887303619
308	0.2886845566
309	0.2886398575
310	0.2886204102
311	0.2885918137
312	0.2885269196
313	0.2884948364
314	0.2884452118
315	0.2884086319
316	0.2883650208
317	0.2883345718
318	0.2882988327
319	0.288257135
320	0.2882044281
321	0.2881757614
322	0.2881446396
323	0.2881002518
324	0.2880322815
325	0.287994281
326	0.2879471832
327	0.2879219376
328	0.2878494049
329	0.2878048935
330	0.2877798782
331	0.2877361206
332	0.2876954361
333	0.2876232742
334	0.2875896179
335	0.2875627823
336	0.28752164
337	0.2874937988
338	0.2874437469
339	0.2873928802
340	0.2873704224
341	0.2873308167
342	0.2872953934
343	0.287275
344	0.2872288834
345	0.2871927307
346	0.2871282562
347	0.2871050079
348	0.2870763763
349	0.2870292816
350	0.2869801163
351	0.2869483566
352	0.2868876389
353	0.2868376999
354	0.2868055359
355	0.286784993
356	0.2867550095
357	0.2867091507
358	0.2866564178
359	0.2866178101
360	0.2865652069
361	0.2865293365
362	0.2864838821
363	0.286454393
364	0.2864116028
365	0.2863900314
366	0.286360672
367	0.2863162003
368	0.2862568802
369	0.2862282486
370	0.2861873077
371	0.2861495728
372	0.2861072647
373	0.2860755112
374	0.2860306061
375	0.2859975784
376	0.2859530151
377	0.2859190948
378	0.2858733627
379	0.2858279495
380	0.2857616165
381	0.2857099213
382	0.2856709015
383	0.2856226639
384	0.2855889679
385	0.2855539062
386	0.2855229279
387	0.2854671234
388	0.2854369476
389	0.2854020844
390	0.2853544617
391	0.2853215088
392	0.2852827393
393	0.2852422684
394	0.2851811905
395	0.2851295853
396	0.2850779526
397	0.2850518341
398	0.2850098892
399	0.2849590683
400	0.2849228546
401	0.2848707062
402	0.2848279037
403	0.2847846268
404	0.2847433502
405	0.28470616
406	0.2846671875
407	0.2846253876
408	0.2845799026
409	0.2845407608
410	0.2845148804
411	0.2844731186
412	0.2844364014
413	0.2843972046
414	0.2843591141
415	0.284328688
416	0.2842987656
417	0.2842467651
418	0.284207164
419	0.2841715744
420	0.2841144897
421	0.2840813629
422	0.2840459793
423	0.2840258362
424	0.2839862122
425	0.2839467209
426	0.2838927338
427	0.2838532547
428	0.2838110718
429	0.2837742187
430	0.2837326309
431	0.2837086029
432	0.2836822189
433	0.2836475281
434	0.283628392
435	0.2835971237
436	0.2835654175
437	0.2835269531
438	0.2834781082
439	0.2834510223
440	0.2834226944
441	0.2833827774
442	0.2833411026
443	0.2833016922
444	0.2832563293
445	0.2832137451
446	0.2831694855
447	0.2831243256
448	0.2830915009
449	0.2830552917
450	0.2830318314
451	0.2829937576
452	0.2829680832
453	0.2829311279
454	0.2828943436
455	0.2828440903
456	0.2828014572
457	0.2827789551
458	0.2827474518
459	0.2827162064
460	0.2826825623
461	0.2826400009
462	0.2826090805
463	0.28256978
464	0.2825388596
465	0.2825111771
466	0.2824695053
467	0.2824408356
468	0.2824015762
469	0.2823625
470	0.2823278992
471	0.2822956284
472	0.2822573624
473	0.2822264389
474	0.2821974609
475	0.282157518
476	0.2821222855
477	0.2820889587
478	0.2820503464
479	0.2820255478
480	0.2819886887
481	0.2819626892
482	0.2819209641
483	0.2818886459
484	0.2818699402
485	0.2818337051
486	0.281799585
487	0.2817618881
488	0.2817342941
489	0.2817030716
490	0.2816684937
491	0.2816394806
492	0.2816047775
493	0.2815752228
494	0.2815525757
495	0.2815274597
496	0.2814948212
497	0.2814497116
498	0.2814226807
499	0.281394751
500	0.2813786911
501	0.2813501205
502	0.2813306519
503	0.281288739
504	0.2812609482
505	0.281227066
506	0.2811955246
507	0.2811619797
508	0.2811310913
509	0.2810931137
510	0.2810556473
511	0.2810467438
512	0.2810132217
513	0.2809753204
514	0.280943959
515	0.2808976578
516	0.2808560318
517	0.2808185547
518	0.2807850739
519	0.2807390656
520	0.2806971802
521	0.2806611435
522	0.2806262939
523	0.2805971512
524	0.2805596741
525	0.2805395493
526	0.2805029953
527	0.2804560928
528	0.2804248413
529	0.280401651
530	0.2803516266
531	0.2803201492
532	0.2803004898
533	0.2802427124
534	0.2802011429
535	0.280168158
536	0.280140741
537	0.2801073578
538	0.2800780151
539	0.2800387878
540	0.2799984512
541	0.2799711014
542	0.2799368286
543	0.2798882248
544	0.2798606552
545	0.2798239929
546	0.279788916
547	0.279754483
548	0.2797235321
549	0.2796943481
550	0.2796600296
551	0.2796299774
552	0.2795935455
553	0.2795598663
554	0.2795404938
555	0.2795164948
556	0.2794856323
557	0.279463356
558	0.2794379456
559	0.2793918167
560	0.279373111
561	0.2793425049
562	0.2793079483
563	0.2792682541
564	0.2792391235
565	0.2792020386
566	0.2791833954
567	0.2791404922
568	0.2791009201
569	0.2790732635
570	0.2790442337
571	0.2790145172
572	0.2789892807
573	0.2789726303
574	0.2789437302
575	0.278907402
576	0.2788757141
577	0.2788473099
578	0.2788215393
579	0.278799411
580	0.2787599213
581	0.2787327042
582	0.2787056076
583	0.2786831085
584	0.2786455017
585	0.2786239105
586	0.2785826553
587	0.2785537582
588	0.2785299728
589	0.2785067352
590	0.2784742798
591	0.278445517
592	0.2784244644
593	0.2783951645
594	0.2783652664
595	0.278345694
596	0.2783074295
597	0.2782779083
598	0.2782337341
599	0.2781987137
600	0.2781681015
601	0.2781376724
602	0.2781038925
603	0.2780650009
604	0.2780165344
605	0.2779852402
606	0.2779489929
607	0.2779260788
608	0.2778900909
609	0.2778591599
610	0.2778225845
611	0.2777859436
612	0.2777626602
613	0.2777411011
614	0.2777039383
615	0.2776749268
616	0.2776448318
617	0.2776123779
618	0.2775734146
619	0.2775542816
620	0.2775310623
621	0.2775118256
622	0.2774833038
623	0.2774477539
624	0.2773962616
625	0.2773744934
626	0.2773520264
627	0.2773305359
628	0.2772844803
629	0.2772483841
630	0.2772151031
631	0.2771838165
632	0.2771633835
633	0.2771291779
634	0.2771057358
635	0.2770723404
636	0.277048465
637	0.2770178925
638	0.2769795563
639	0.2769485672
640	0.2769213745
641	0.2768832932
642	0.276845488
643	0.2768154175
644	0.2767957108
645	0.2767792831
646	0.2767509811
647	0.2767050369
648	0.2766779633
649	0.276645961
650	0.2766167847
651	0.2765947159
652	0.2765617432
653	0.2765322281
654	0.2765078171
655	0.2764794144
656	0.2764450134
657	0.2764098434
658	0.2763613785
659	0.2763345993
660	0.2763094788
661	0.2762766464
662	0.2762353714
663	0.2761975845
664	0.2761533234
665	0.2761249359
666	0.2761084518
667	0.2760838242
668	0.2760474777
669	0.2760189316
670	0.2759927597
671	0.275972287
672	0.2759394852
673	0.2759152145
674	0.2758995728
675	0.2758680237
676	0.2758489883
677	0.2758051376
678	0.275779039
679	0.2757469223
680	0.2757163223
681	0.2756824112
682	0.2756686462
683	0.2756397507
684	0.2756021561
685	0.2755618958
686	0.2755280838
687	0.2755065933
688	0.2754818573
689	0.2754572266
690	0.2754351318
691	0.2753981766
692	0.2753609085
693	0.2753291656
694	0.2753017471
695	0.2752875061
696	0.2752628418
697	0.2752280014
698	0.2752093491
699	0.2751684204
700	0.2751353348
701	0.2751091141
702	0.2750844543
703	0.2750461838
704	0.275007547
705	0.274984758
706	0.2749543228
707	0.2749191956
708	0.2748942673
709	0.2748697906
710	0.2748288925
711	0.2748009125
712	0.2747789413
713	0.2747476929
714	0.274701091
715	0.2746792114
716	0.2746477524
717	0.2746246399
718	0.2745791122
719	0.2745462891
720	0.2745171463
721	0.2744945541
722	0.2744568558
723	0.2744066864
724	0.2743749878
725	0.2743470993
726	0.2743170395
727	0.2742987778
728	0.2742710754
729	0.2742316849
730	0.2741998093
731	0.2741758713
732	0.274142836
733	0.2741146454
734	0.2740869888
735	0.2740639557
736	0.2740371841
737	0.2739993378
738	0.2739601807
739	0.2739336349
740	0.2738936172
741	0.273877327
742	0.2738367615
743	0.2738148483
744	0.2737918304
745	0.2737562302
746	0.2737258041
747	0.273692627
748	0.2736662537
749	0.2736318802
750	0.2735953415
751	0.2735650299
752	0.2735370316
753	0.2735060684
754	0.2734700104
755	0.2734521286
756	0.2734215256
757	0.2733975632
758	0.2733786148
759	0.2733482193
760	0.2733267944
761	0.2733015228
762	0.2732679062
763	0.2732360306
764	0.2732159424
765	0.2731954681
766	0.2731589279
767	0.2731379715
768	0.2731129257
769	0.273078093
770	0.2730442001
771	0.2730148727
772	0.2729889221
773	0.272967189
774	0.2729434769
775	0.272907811
776	0.2728884811
777	0.2728632736
778	0.2728353165
779	0.2728084808
780	0.2727794373
781	0.2727548355
782	0.2727321854
783	0.2727060165
784	0.2726762329
785	0.2726549484
786	0.2726333878
787	0.2726014984
788	0.272578804
789	0.2725585785
790	0.2725260315
791	0.2724917435
792	0.2724635773
793	0.2724437439
794	0.2724124191
795	0.2723778732
796	0.2723541672
797	0.2723356628
798	0.2723099289
799	0.272276944
800	0.2722562439
801	0.2722261017
802	0.2721923309
803	0.2721670364
804	0.2721365952
805	0.272100885
806	0.2720768494
807	0.2720565201
808	0.2720195694
809	0.271997876
810	0.2719639954
811	0.2719344055
812	0.2719131348
813	0.2718752655
814	0.2718556625
815	0.27182276
816	0.2717881912
817	0.2717437042
818	0.2717062805
819	0.2716819443
820	0.2716374603
821	0.2716055908
822	0.2715792892
823	0.2715477386
824	0.2715117233
825	0.2714971436
826	0.2714696976
827	0.2714317184
828	0.2714000809
829	0.2713645813
830	0.2713351196
831	0.2713210938
832	0.2712958359
833	0.2712438126
834	0.2712228409
835	0.2712100677
836	0.2711836273
837	0.2711599091
838	0.2711130142
839	0.2710676468
840	0.2710386322
841	0.2710056808
842	0.270978537
843	0.2709511246
844	0.2709394653
845	0.2709218323
846	0.2708928726
847	0.2708518921
848	0.2708305908
849	0.2708021835
850	0.2707741959
851	0.2707565552
852	0.2707220016
853	0.2706933289
854	0.2706592133
855	0.2706296982
856	0.270596669
857	0.2705754959
858	0.2705499542
859	0.2705148666
860	0.2704857178
861	0.2704560883
862	0.2704311859
863	0.2704056793
864	0.2703716339
865	0.2703400604
866	0.2703186218
867	0.2702923996
868	0.2702608932
869	0.2702376724
870	0.270210379
871	0.270183226
872	0.2701658768
873	0.2701425781
874	0.2701201828
875	0.2700875092
876	0.2700569565
877	0.2700264297
878	0.2699967865
879	0.2699733734
880	0.269940976
881	0.2699184601
882	0.2698843109
883	0.2698619919
884	0.2698405563
885	0.2698180206
886	0.2697864471
887	0.2697466766
888	0.26970728
889	0.2696802582
890	0.269656871
891	0.2696386215
892	0.2696101868
893	0.2695933197
894	0.2695676468
895	0.2695411285
896	0.269517627
897	0.2694876434
898	0.2694535095
899	0.269425618
900	0.2694006226
901	0.2693721466
902	0.2693461273
903	0.26932733
904	0.2693107925
905	0.2692945908
906	0.2692735596
907	0.2692492752
908	0.2692300217
909	0.2691955643
910	0.2691792313
911	0.2691558426
912	0.2691350388
913	0.2691064484
914	0.2690650818
915	0.2690309921
916	0.2689999603
917	0.2689801743
918	0.26896716
919	0.2689464905
920	0.2688997467
921	0.2688636734
922	0.2688380402
923	0.2688163101
924	0.2687950272
925	0.2687803162
926	0.2687606216
927	0.2687240707
928	0.2686903122
929	0.2686583191
930	0.2686314972
931	0.2686083008
932	0.268587236
933	0.2685630768
934	0.268545787
935	0.2685224365
936	0.2684926514
937	0.2684635803
938	0.2684388931
939	0.2684074646
940	0.2683763992
941	0.268352919
942	0.2683238205
943	0.2683022156
944	0.2682808121
945	0.268255954
946	0.2682158615
947	0.2681849609
948	0.2681547592
949	0.2681248459
950	0.2681133896
951	0.2680952957
952	0.2680770065
953	0.2680496628
954	0.2680270218
955	0.2680156677
956	0.2679885117
957	0.2679644257
958	0.2679444519
959	0.2679173523
960	0.2678881897
961	0.2678466766
962	0.2678150986
963	0.2677942413
964	0.2677586639
965	0.2677270966
966	0.2676971817
967	0.2676571762
968	0.2676222473
969	0.2675973572
970	0.267569191
971	0.2675367371
972	0.2675008224
973	0.2674772232
974	0.2674539169
975	0.2674367752
976	0.2674011993
977	0.2673711945
978	0.2673438934
979	0.2673179016
980	0.2672901855
981	0.2672603073
982	0.2672288086
983	0.2671982529
984	0.267170018
985	0.2671418625
986	0.2671190659
987	0.2670999969
988	0.2670695114
989	0.2670385056
990	0.2670101196
991	0.2669709213
992	0.2669364044
993	0.2669107895
994	0.2668852722
995	0.2668618134
996	0.2668366653
997	0.2668139252
998	0.2667879074
999	0.2667785522
